LAT,LON,YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_SW_DWN
1.5,-76.5,2022,1,1,0.57,5.53
1.5,-75.5,2022,1,1,0.66,6.4
1.5,-74.5,2022,1,1,0.65,6.34
1.5,-73.5,2022,1,1,0.67,6.54
1.5,-72.5,2022,1,1,0.67,6.48
1.5,-71.5,2022,1,1,0.66,6.42
1.5,-70.5,2022,1,1,0.59,5.72
2.5,-76.5,2022,1,1,0.46,4.42
2.5,-75.5,2022,1,1,0.61,5.89
2.5,-74.5,2022,1,1,0.64,6.14
2.5,-73.5,2022,1,1,0.63,6.02
2.5,-72.5,2022,1,1,0.66,6.34
2.5,-71.5,2022,1,1,0.68,6.55
2.5,-70.5,2022,1,1,0.67,6.43
3.5,-76.5,2022,1,1,0.23,2.22
3.5,-75.5,2022,1,1,0.52,4.89
3.5,-74.5,2022,1,1,0.56,5.29
3.5,-73.5,2022,1,1,0.55,5.26
3.5,-72.5,2022,1,1,0.63,5.95
3.5,-71.5,2022,1,1,0.66,6.24
3.5,-70.5,2022,1,1,0.67,6.34
4.5,-76.5,2022,1,1,0.33,3.13
4.5,-75.5,2022,1,1,0.46,4.32
4.5,-74.5,2022,1,1,0.53,4.94
4.5,-73.5,2022,1,1,0.56,5.28
4.5,-72.5,2022,1,1,0.62,5.78
4.5,-71.5,2022,1,1,0.67,6.29
4.5,-70.5,2022,1,1,0.68,6.37
5.5,-76.5,2022,1,1,0.34,3.1
5.5,-75.5,2022,1,1,0.44,4.08
5.5,-74.5,2022,1,1,0.49,4.55
5.5,-73.5,2022,1,1,0.58,5.35
5.5,-72.5,2022,1,1,0.6,5.5
5.5,-71.5,2022,1,1,0.65,6.0
5.5,-70.5,2022,1,1,0.68,6.31
6.5,-76.5,2022,1,1,0.32,2.89
6.5,-75.5,2022,1,1,0.4,3.61
6.5,-74.5,2022,1,1,0.46,4.15
6.5,-73.5,2022,1,1,0.52,4.77
6.5,-72.5,2022,1,1,0.53,4.82
6.5,-71.5,2022,1,1,0.58,5.26
6.5,-70.5,2022,1,1,0.68,6.22
7.5,-76.5,2022,1,1,0.41,3.64
7.5,-75.5,2022,1,1,0.43,3.85
7.5,-74.5,2022,1,1,0.48,4.31
7.5,-73.5,2022,1,1,0.58,5.18
7.5,-72.5,2022,1,1,0.53,4.79
7.5,-71.5,2022,1,1,0.58,5.21
7.5,-70.5,2022,1,1,0.65,5.79
1.5,-76.5,2022,1,2,0.6,5.86
1.5,-75.5,2022,1,2,0.66,6.43
1.5,-74.5,2022,1,2,0.7,6.84
1.5,-73.5,2022,1,2,0.68,6.58
1.5,-72.5,2022,1,2,0.67,6.5
